id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
628272,AFG-2026-1-1-XXX700-5,2026,false,Check dyad,1,XXX700,1,XXX700,1-XXX700,1,XXX700 - XXX700,XXX700,3596,XXX700,XXX700,3596,XXX700,1,"""Etilaat Roz,2026-05-06,""Afghan Republican Front"": A Taliban member was killed in an attack in Sayghan, Bamyan.""",Etilaat Roz,2026-05-06,"""Afghan Republican Front"": A Taliban member was killed in an attack in Sayghan, Bamyan.",Republican Front of Afghanistan,3,Sayghan district,"""Dehan Sayghan area"" of Sayghan district, Bamyan province.",Bamyan province,Sayghan district,35.119273,67.611333,POINT (67.611333 35.119273),180496,Afghanistan,700,Asia,1,1,2026-05-05 00:00:00.000,2026-05-05 00:00:00.000,1,0,0,0,1,1,1,,
630160,AFG-2026-3-951-14,2026,false,Clear,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Hasht e Subh Daily,2026-05-23,Taliban kill young man, injure his father in Nangarhar""",Hasht e Subh Daily,2026-05-23,"Taliban kill young man, injure his father in Nangarhar",Local sources,1,Hesar Shahi town,Hisar Shahi Bazaar of Rodat district of Nangarhar province,Nangarhar province,Rodat district,34.256500,70.577000,POINT (70.577 34.2565),179062,Afghanistan,700,Asia,1,1,2026-05-22 00:00:00.000,2026-05-22 00:00:00.000,0,0,0,0,0,1,0,700,
627993,AFG-2026-1-12291-101,2026,true,Clear,1,,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,4,"""Ariana News,2026-05-04,In Kunar, 17 people were killed and wounded in the latest attacks by Pakistani forces"";""Tolo News,2026-05-04,The deputy spokesperson of the Islamic Emirate, Hamdullah Fitrat, wrote on X that the Pakistani military regime has once again targeted civilian homes, schools, a health center, and mosques in Dangam district of Kunar, near the hypothetical Durand Line."";""Kabul Now,2026-05-04,Three Killed, 14 Injured in Latest Pakistani Strikes on Eastern Afghanistan, Taliban Says"";""Associated Press Newswires,2026-05-04,Afghanistan says cross-border attacks by Pakistan hit civilian areas and killed 3""",Ariana News;Tolo News;Kabul Now;Associated Press Newswires,2026-05-04;2026-05-04;2026-05-04;2026-05-04,"In Kunar, 17 people were killed and wounded in the latest attacks by Pakistani forces;The deputy spokesperson of the Islamic Emirate, Hamdullah Fitrat, wrote on X that the Pakistani military regime has once again targeted civilian homes, schools, a health center, and mosques in Dangam district of Kunar, near the hypothetical Durand Line.;Three Killed, 14 Injured in Latest Pakistani Strikes on Eastern Afghanistan, Taliban Says;Afghanistan says cross-border attacks by Pakistan hit civilian areas and killed 3","Hamidullah Fitrat, deputy spokesman of the Islamic Emirate",2,Dangam district,Dangam district of Kunar near the Durand line,Kunar province,Dangam district,35.000833,71.437913,POINT (71.437913 35.000833),180503,Afghanistan,700,Asia,1,1,2026-05-04 00:00:00.000,2026-05-04 00:00:00.000,0,0,3,0,3,3,3,700,770
629409,AFG-2026-1-12291-110,2026,true,Check geography,1,,11639,Afghanistan - Pakistan,12291,12291,Government of Afghanistan - Government of Pakistan,130,130,Government of Afghanistan,142,142,Government of Pakistan,2,"""Kabul Now,2026-05-13,Five Family Members, Including Children, Killed in Drone Strike in Eastern Afghanistan"";""Etilaat Roz,2026-05-14,Sources: Five members of a family killed in drone strike in Kunar""",Kabul Now;Etilaat Roz,2026-05-13;2026-05-14,"Five Family Members, Including Children, Killed in Drone Strike in Eastern Afghanistan;Sources: Five members of a family killed in drone strike in Kunar",local sources,3,Dara-i-Pech district (Manogai),"""Pij Dara"" area of ​​Mano Gai district, eastern Kunar province",Kunar province,Dara-i-Pech district (Manogai),34.954550,70.914272,POINT (70.914272 34.95455),179782,Afghanistan,700,Asia,1,1,2026-05-13 00:00:00.000,2026-05-13 00:00:00.000,0,0,5,0,5,5,5,700,770
630105,AFG-2026-1-16825-18,2026,false,Clear,1,,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,1,"""NRF,2026-05-25,In two separate operations, fighters of the National Resistance Front killed and wounded 6 Taliban terrorists in Herat.""",NRF,2026-05-25,"In two separate operations, fighters of the National Resistance Front killed and wounded 6 Taliban terrorists in Herat.",NRF,3,Guzara district,"on the ""Pashtun-Zarghun"" road route near Ziyarat, in the jurisdiction of Guzara District of Hirat province",Hirat province,Guzara district,34.038332,62.044272,POINT (62.044272 34.038332),179045,Afghanistan,700,Asia,1,1,2026-05-21 00:00:00.000,2026-05-21 00:00:00.000,1,0,0,0,1,1,1,700,
631263,AFG-2026-1-16825-20,2026,false,Clear,1,,333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,1,"""The Afghan Digest,2026-06-01,The Week of May 25- 31""",The Afghan Digest,2026-06-01,The Week of May 25- 31,Afghan Green Trend ; Afghan Digest,2,Abdullah Khel village,"Manjensto area of Panjshir’s Dara district, Abdullah Khil valley",Panjsher province,Dara district,35.247000,69.612800,POINT (69.612799999999993 35.247),180500,Afghanistan,700,Asia,1,1,2026-05-25 00:00:00.000,2026-05-25 00:00:00.000,0,0,0,0,0,10,0,700,
627844,AFG-2026-1-17083-19,2026,false,Clear,1,,333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,2,"""AFF,2026-05-02,In the attack on the Logar provincial governor's building, four Taliban terrorists were killed and wounded."";""Hasht e Subh Daily,2026-05-02,Azadi Jabhat claims killing of two Taliban in Logar""",AFF;Hasht e Subh Daily,2026-05-02;2026-05-02,"In the attack on the Logar provincial governor's building, four Taliban terrorists were killed and wounded.;Azadi Jabhat claims killing of two Taliban in Logar",AFF; local sources in Logar,1,Puli Alam town,outpost near the Logar provincial governor's building headquarters in Pul-e 'Alam,Logar province,Puli Alam district,33.995289,69.022740,POINT (69.02274 33.995289),178339,Afghanistan,700,Asia,1,1,2026-05-01 00:00:00.000,2026-05-01 00:00:00.000,0,0,0,0,0,2,0,700,
630337,BNG-2026-2-2-XXX771-31,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026""",South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026,SAPT,1,Islampur sub-district,Horticulture Center area of Islampur in Panchhari Upazila (Sub-District) of Khagrachhari District,Mymensingh division,Jamālpur district,25.083333,89.791667,POINT (89.791667 25.083333),166140,Bangladesh,771,Asia,1,1,2026-05-07 00:00:00.000,2026-05-07 00:00:00.000,1,0,0,0,1,1,1,,
630338,BNG-2026-2-2-XXX771-32,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026""",South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026,SAPT,1,Baghaichhari town,Puchuchhara area of Ward No. 4 in Sajek Union of Baghaichhari Upazila (Sub-District) of Rangamati District,Chittagong division,Rangamati district,23.170573,92.199076,POINT (92.199076 23.170573),163265,Bangladesh,771,Asia,1,1,2026-05-09 00:00:00.000,2026-05-09 00:00:00.000,1,0,0,0,1,1,1,,
630339,BNG-2026-2-2-XXX771-33,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026""",South Asia Terrorism Portal,2026-05-31,Islamist Terrorism: Timeline (Terrorist Activities)-2026,SATP,1,Nayapara refugee camp,Rohingya refugee camp in Teknaf Upazila (Sub-District) of Cox's Bazar District,Chittagong division,Cox’s Bāzār district,20.955812,92.250946,POINT (92.250946 20.955812),159665,Bangladesh,771,Asia,1,1,2026-05-14 00:00:00.000,2026-05-14 00:00:00.000,0,1,0,0,1,1,1,,
